congress,chamber,rollnumber,icpsr,cast_code,prob
84,Senate,5,1678,3,94.02924088975092
84,Senate,5,1831,1,92.96806958543814
84,Senate,5,2087,1,99.28228982362106
84,Senate,5,2267,1,98.92165525915306
84,Senate,5,2326,1,96.53970733896978
84,Senate,5,2609,1,99.38882703986633
84,Senate,5,2691,1,72.1138385969189
84,Senate,5,2745,1,99.22762152874913
84,Senate,5,2803,1,99.01161798326478
84,Senate,5,2822,1,95.38019597137448
84,Senate,5,2901,1,93.53834196888654
84,Senate,5,2987,1,94.44797370392948
84,Senate,5,3206,3,99.38384672494858
84,Senate,5,3349,3,97.61215534613643
84,Senate,5,3388,1,80.99352455868626
84,Senate,5,3536,1,96.9832409503726
84,Senate,5,3658,1,98.67957636574162
84,Senate,5,3704,1,87.76984328906093
84,Senate,5,3783,1,90.4806487584366
84,Senate,5,4227,1,93.84329757608705
84,Senate,5,4328,1,89.75201094678465
84,Senate,5,4382,1,99.29886062824839
84,Senate,5,4418,1,88.76686154317237
84,Senate,5,4520,1,97.0173624345285
84,Senate,5,4660,1,99.06043915150862
84,Senate,5,4728,1,87.37350051188504
84,Senate,5,4834,1,99.13390416728184
84,Senate,5,4851,1,92.30779623171739
84,Senate,5,4922,1,98.70240383868759
84,Senate,5,4979,3,92.06478333036662
84,Senate,5,5009,1,91.57272989232399
84,Senate,5,5122,1,81.77342395405071
84,Senate,5,5180,3,92.86907776695028
84,Senate,5,5213,1,92.00915784264866
84,Senate,5,5240,1,79.48791005272989
84,Senate,5,5343,1,99.35416604993506
84,Senate,5,5372,1,99.22848959147211
84,Senate,5,5452,6,2.3588803794293622
84,Senate,5,5591,6,41.738684304510066
84,Senate,5,5767,1,91.96435916391007
84,Senate,5,5913,1,90.34596857425683
84,Senate,5,5944,1,98.58565706970526
84,Senate,5,5967,1,80.41249170536734
84,Senate,5,6021,1,99.30186237583017
84,Senate,5,6039,1,99.24279391369566
84,Senate,5,6137,1,99.10482504536628
84,Senate,5,6151,1,95.50458302213033
84,Senate,5,6366,1,69.63014468656068
84,Senate,5,6525,1,99.1739315332399
84,Senate,5,6597,1,92.17152423586501
84,Senate,5,6738,6,73.6026807552006
84,Senate,5,6796,1,99.12597790921485
84,Senate,5,6820,1,81.67757948129788
84,Senate,5,6856,3,88.36498675624689
84,Senate,5,6882,1,74.93475017344255
84,Senate,5,7070,1,93.78089166223384
84,Senate,5,7229,1,94.58985915619284
84,Senate,5,7271,1,99.18657987798625
84,Senate,5,7551,3,99.36081201146916
84,Senate,5,7656,1,99.3978121248972
84,Senate,5,7958,1,97.03199487595818
84,Senate,5,8138,1,95.13910804294301
84,Senate,5,8185,1,99.33438296938542
84,Senate,5,8270,1,99.07682360039787
84,Senate,5,8313,1,90.6076050490001
84,Senate,5,8593,1,94.03814242987212
84,Senate,5,8635,1,99.37108020060158
84,Senate,5,8666,1,99.13780542208924
84,Senate,5,8764,1,91.710387589072
84,Senate,5,8883,1,94.18800854387545
84,Senate,5,9141,1,90.23726842393442
84,Senate,5,9374,1,99.17145230336459
84,Senate,5,9865,1,99.2745843409516
84,Senate,5,9930,1,98.45980560113645
84,Senate,5,10110,1,99.2766026906726
84,Senate,5,10163,1,98.91684740804703
84,Senate,5,10450,1,98.78801861645374
84,Senate,5,99369,1,97.03765651425334
84,Senate,5,99901,1,99.44481641595908
84,Senate,6,52,1,
84,Senate,6,142,1,
84,Senate,6,165,1,
84,Senate,6,437,3,
84,Senate,6,464,1,
84,Senate,6,546,1,
84,Senate,6,621,1,
84,Senate,6,645,3,
84,Senate,6,688,1,
84,Senate,6,1024,1,
84,Senate,6,1027,1,
84,Senate,6,1329,1,
84,Senate,6,1341,1,
84,Senate,6,1365,1,
84,Senate,6,1489,1,
84,Senate,6,1510,1,
84,Senate,6,1569,1,
84,Senate,6,1570,1,
84,Senate,6,1678,3,
84,Senate,6,1831,1,
84,Senate,6,2087,1,
84,Senate,6,2267,1,
84,Senate,6,2326,3,
84,Senate,6,2609,3,
84,Senate,6,2691,1,
84,Senate,6,2745,1,
84,Senate,6,2803,1,
84,Senate,6,2822,1,
84,Senate,6,2901,1,
84,Senate,6,2987,1,
84,Senate,6,3206,1,
84,Senate,6,3349,1,
84,Senate,6,3388,1,
84,Senate,6,3536,1,
84,Senate,6,3658,1,
84,Senate,6,3704,1,
84,Senate,6,3783,1,
84,Senate,6,4227,1,
84,Senate,6,4328,3,
84,Senate,6,4382,1,
84,Senate,6,4418,1,
